Description...,Accession,Gene_id,BT_1,BT_2,BT_3,BT_4,BT_5,BT_6,BT_7,BT_8,BT_9,BT_10,BT_11,BT_12,BT_13,BT_14,CJK_1,CJK_2,CJK_3,CJK_4,CJK_5,CJK_6,CJK_7,CJK_8,CJK_9,CJK_10,CJK_11,CJK_12,CJK_13,CJK_14,CJK_16,CJK_17,CJK_18,CJK_19,CJK_20
Malate dehydrogenase  cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4;,P40925|MDHC_HUMAN,MDH1,88817000,57214000,164340000,78217000,123690000,135270000,77935000,91334000,92753000,107250000,86175000,60528000,61282000,82511000,121090000,45969000,264340000,73718000,144470000,183270000,148740000,67573000,408000000,268540000,222530000,104400000,169480000,332250000,176830000,171450000,246430000,66775000,89636000
Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1;,P35241|RADI_HUMAN,RDX,19325000,6416900,27709000,14993000,25464000,24948000,15874000,6974500,13988000,7982700,11625000,4920300,10901000,6823400,43301000,668040,17001000,1478700,13225000,9507800,12428000,2976900,14035000,8365300,43440000,4447300,20227000,14213000,4080800,2096500,5810900,902560,NA
Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3;,P61158|ARP3_HUMAN,ACTR3,71385000,46976000,149330000,103880000,73894000,121320000,96266000,76381000,73931000,60128000,101000000,61217000,70940000,73933000,58895000,23049000,186970000,126130000,77778000,208980000,122310000,76201000,261130000,215250000,272090000,94603000,124850000,191710000,168390000,94545000,177370000,77745000,143000000
Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3;,P30086|PEBP1_HUMAN,PEBP1,65662000,38337000,111450000,66053000,85258000,85725000,107640000,80422000,84859000,69720000,107570000,48123000,77021000,58052000,72482000,30225000,309310000,106280000,119370000,165270000,212730000,94187000,561010000,457370000,358340000,112930000,194450000,285610000,213870000,148840000,274780000,64073000,144650000
Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2;,P49257|LMAN1_HUMAN,LMAN1,39552000,25786000,52968000,57914000,43330000,157790000,64170000,146220000,45985000,54324000,51597000,77052000,126230000,124810000,44240000,4780400,188210000,30782000,222110000,35467000,232990000,44307000,235030000,204050000,187250000,56059000,77858000,170590000,210520000,47781000,72621000,31602000,89959000
D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,O43175|SERA_HUMAN,PHGDH,135890000,20776000,72248000,18874000,190960000,30821000,80609000,23043000,62171000,18529000,93299000,24212000,90959000,25314000,194490000,12673000,297780000,16720000,268610000,51247000,227260000,10722000,239610000,64117000,414460000,27323000,93112000,53622000,7335900,40311000,16095000,27534000,9803800
Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,Q9UHD8|SEPT9_HUMAN,SEPTIN9,63179000,47992000,84907000,72243000,82702000,95163000,54241000,48364000,42310000,54835000,55648000,37243000,47219000,39752000,100600000,17207000,162470000,35474000,91957000,75953000,121380000,23090000,119860000,120680000,187810000,58627000,104820000,130390000,88960000,60195000,83206000,21024000,41667000
Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,P62937|PPIA_HUMAN,PPIA,1650200000,1565700000,2288300000,1833200000,2136000000,1891700000,1901200000,1559000000,1736500000,1757200000,2018400000,1292000000,1254000000,1440200000,1075600000,233480000,1608800000,746550000,1185400000,1228200000,1692000000,1011300000,2776800000,1674300000,2648400000,923480000,1628900000,1679600000,1032100000,851400000,1282500000,376500000,731320000
"'""Bifunctional 3''-phosphoadenosine 5''-phosphosulfate synthase 2 OS=Homo sapiens OX=9606 GN=PAPSS2 PE=1 SV=2""'",O95340|PAPS2_HUMAN,PAPSS2,6494800,4575900,35459000,10724000,13134000,15038000,13515000,8782700,12272000,6405200,21319000,4059400,12346000,3295700,23724000,6204300,102190000,17927000,15526000,15777000,27785000,4535800,39178000,42948000,60670000,3531200,34880000,123610000,36679000,12660000,27166000,28313000,16051000
Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4;,Q15233|NONO_HUMAN,NONO,77859000,43546000,93116000,83688000,75612000,94021000,76320000,48590000,61010000,42884000,68630000,50744000,38001000,42289000,53170000,11331000,83908000,21827000,74903000,49334000,69292000,6838600,62342000,31863000,100670000,28618000,46758000,42664000,39807000,18791000,16658000,21578000,23724000
Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1,Q13838|DX39B_HUMAN,DDX39B,66227000,31263000,84887000,53907000,76175000,75861000,62739000,48085000,55850000,33538000,44748000,32928000,58963000,37953000,36742000,8762900,48118000,17449000,24456000,36791000,25053000,4281600,25947000,34839000,52408000,19141000,36398000,27002000,29687000,17574000,37121000,9342100,27803000
Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3,P35237|SPB6_HUMAN,SERPINB6,42191000,16788000,61095000,40048000,59378000,52612000,26701000,28592000,22859000,36649000,25767000,10951000,24170000,23105000,46589000,710670,214310000,NA,110850000,788610,116130000,NA,67736000,7888200,117180000,NA,2445400,77756000,15581000,40257000,62985000,27099000,30373000
PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5,Q96HC4|PDLI5_HUMAN,PDLIM5,60401000,25832000,96691000,66688000,38659000,27687000,64647000,49319000,48822000,42519000,80837000,35017000,47159000,74670000,72420000,11437000,152080000,22178000,68971000,98581000,142940000,27568000,152740000,84660000,142160000,27419000,43072000,101330000,71957000,54835000,57785000,38640000,60496000
26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1;,P62191|PRS4_HUMAN,PSMC1,40433000,17460000,56206000,30498000,34438000,26951000,42119000,26297000,33109000,28979000,48125000,17729000,27398000,18729000,61275000,11757000,87618000,13777000,71757000,43273000,65463000,8450200,83604000,49034000,89793000,19746000,38698000,20533000,46836000,31887000,30421000,14341000,21886000
ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,P05141|ADT2_HUMAN,SLC25A5,33087000,32732000,47682000,31750000,30631000,57565000,34874000,23918000,20626000,28156000,36767000,32869000,16806000,28924000,74947000,15095000,96070000,43040000,75447000,62841000,50265000,42763000,71885000,41688000,72382000,34598000,39723000,47731000,34052000,30779000,48315000,26727000,53357000
Serine/threonine-protein kinase PAK 2 OS=Homo sapiens OX=9606 GN=PAK2 PE=1 SV=3,Q13177|PAK2_HUMAN,PAK2,18235000,11500000,60019000,18905000,17831000,7914400,19229000,8145100,32720000,10474000,34702000,3991300,13221000,14465000,47901000,12288000,77334000,15860000,66103000,16234000,102860000,6200000,171140000,49701000,115620000,9349400,42438000,51995000,84288000,65852000,46411000,36749000,26787000
Aspartate--tRNA ligase  cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2;;,P14868|SYDC_HUMAN,DARS1,18710000,4773900,35293000,25540000,27464000,24131000,33963000,22047000,21345000,15123000,31650000,8937400,21269000,13026000,30098000,7503800,78053000,35019000,29294000,45271000,102930000,26874000,108650000,149190000,74407000,31172000,40055000,41937000,59939000,28742000,65201000,33241000,43619000
40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,P08865|RSSA_HUMAN,RPSA,247230000,177940000,407450000,301360000,317050000,357360000,320900000,243860000,266160000,223380000,333850000,191620000,215570000,229800000,143220000,94956000,485810000,226930000,240160000,448860000,383000000,116680000,669880000,450590000,514350000,158550000,161440000,578860000,348030000,303150000,375320000,171100000,277560000
POTE ankyrin domain family member E OS=Homo sapiens OX=9606 GN=POTEE PE=2 SV=3,Q6S8J3|POTEE_HUMAN,POTEE,NA,1578000,2863700,NA,0,3262400,NA,NA,NA,801760,NA,10961000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5539600,NA,NA,NA,NA,NA,NA,NA,0
Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2;,O43399|TPD54_HUMAN,TPD52L2,315760000,156590000,347810000,187130000,289140000,207540000,311520000,191100000,299690000,173800000,261710000,141980000,222160000,129900000,138090000,53174000,470490000,127430000,185420000,388840000,279390000,48560000,202060000,189030000,356940000,77756000,127860000,331380000,191410000,57119000,152240000,45455000,49467000
Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1,P48444|COPD_HUMAN,ARCN1,69500000,18003000,119850000,76552000,72395000,79097000,70736000,63776000,71195000,62510000,67516000,35791000,54846000,60712000,162570000,43266000,257920000,80236000,125140000,206070000,190020000,44182000,252340000,206010000,249070000,97295000,93284000,143020000,191370000,107850000,125670000,66144000,101250000
Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1,P47897|SYQ_HUMAN,QARS1,18682000,13776000,31488000,16979000,23956000,23076000,20183000,20103000,10116000,11377000,17373000,10657000,12717000,14571000,64041000,6313100,87413000,33756000,42635000,57962000,63913000,13916000,61599000,21059000,63775000,41323000,18041000,60897000,26411000,34344000,47257000,27217000,39674000
3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3;,Q99714|HCD2_HUMAN,HSD17B10,26788000,26026000,43340000,36669000,22567000,63538000,32660000,27425000,27448000,21709000,45051000,32228000,22136000,30729000,89814000,31267000,133410000,88275000,58364000,153290000,36181000,50255000,71144000,62571000,99126000,74499000,23830000,113190000,84340000,15486000,82421000,14318000,55019000
26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3;,P35998|PRS7_HUMAN,PSMC2,48008000,19511000,64776000,31503000,38603000,29166000,51060000,29383000,39068000,25126000,58365000,23905000,27925000,22149000,60478000,3493400,115950000,27646000,56446000,56389000,97928000,10973000,127780000,48105000,161150000,40870000,50427000,65292000,36614000,48143000,66603000,31146000,37541000
Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=3,P54920|SNAA_HUMAN,NAPA,10739000,7736500,20671000,11939000,24941000,13506000,29061000,10859000,18575000,13352000,29043000,8662800,13068000,9585300,48448000,10888000,60234000,22293000,57459000,42746000,41951000,12646000,97353000,34916000,149310000,15761000,27926000,68398000,35024000,42174000,53213000,25614000,34369000
Serine hydroxymethyltransferase  mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3;;,P34897|GLYM_HUMAN,SHMT2,25432000,12163000,25725000,15875000,30404000,22400000,17242000,6842200,14194000,4723300,19736000,10802000,16146000,20969000,52034000,8573200,165680000,57332000,63044000,108510000,58032000,11977000,112240000,81371000,99090000,23455000,67954000,110000000,48188000,16666000,45559000,21693000,46086000
Elongation factor Tu  mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2,P49411|EFTU_HUMAN,TUFM,31944000,31605000,43576000,34691000,25297000,52426000,41641000,22175000,25164000,10137000,47638000,31070000,21778000,57636000,79928000,19643000,142430000,69184000,93771000,178010000,107360000,62615000,164100000,131530000,152580000,112100000,76285000,163840000,163450000,39793000,94489000,20821000,92428000
Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Homo sapiens OX=9606 GN=PLOD3 PE=1 SV=1;,O60568|PLOD3_HUMAN,PLOD3,32823000,27366000,42467000,30366000,38173000,31251000,45882000,36090000,26336000,29440000,31260000,36526000,17885000,25518000,77256000,8352800,124480000,58415000,29944000,88928000,38099000,9905400,50729000,64822000,62344000,48191000,44254000,69286000,48172000,25178000,69787000,30446000,59745000
Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=3,Q9NVA2|SEP11_HUMAN,SEPTIN11,35843000,73144000,36980000,72860000,93319000,103390000,37764000,72032000,32586000,69398000,41500000,63883000,63691000,68803000,52246000,33988000,134590000,52074000,113430000,89793000,154090000,57610000,179280000,151860000,325610000,90077000,79214000,140080000,113010000,44342000,74396000,19175000,64502000
Electron transfer flavoprotein subunit alpha  mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1;,P13804|ETFA_HUMAN,ETFA,47823000,50856000,51864000,45606000,39515000,64244000,50868000,36751000,45206000,21759000,61130000,41891000,31328000,36810000,170200000,103760000,324460000,160140000,74137000,321290000,98906000,81318000,138620000,139110000,122110000,179080000,98611000,224870000,162880000,76523000,111480000,78355000,61895000
Transmembrane protein 43 OS=Homo sapiens OX=9606 GN=TMEM43 PE=1 SV=1;;,Q9BTV4|TMM43_HUMAN,TMEM43,23838000,1622500,16404000,21035000,17966000,30788000,23364000,24186000,5333300,307360,17357000,13384000,14326000,14546000,25766000,14208000,94726000,51323000,48220000,71779000,67023000,76257000,127310000,154920000,65768000,64758000,34621000,61026000,60016000,30012000,59605000,12242000,67519000
Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2;,Q13228|SBP1_HUMAN,SELENBP1,27510000,28088000,15748000,22535000,23052000,58566000,4245600,7769500,10357000,17041000,6012000,14776000,2071400,8728300,104770000,30570000,137150000,63084000,90053000,105220000,60322000,21146000,99572000,110800000,147270000,97157000,75547000,235450000,62607000,30631000,211230000,10013000,14065000
GDH/6PGL endoplasmic bifunctional protein OS=Homo sapiens OX=9606 GN=H6PD PE=1 SV=2;,O95479|G6PE_HUMAN,H6PD,2107300,1675100,8517100,27519000,1472700,15673000,1176300,28272000,23136000,36931000,NA,16772000,27533000,NA,21443000,4913300,35112000,23193000,129910000,55161000,258830000,4549200,6540000,29755000,284700000,29461000,11148000,88129000,54273000,2906000,128620000,5058600,9249500
Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4;;,Q13561|DCTN2_HUMAN,DCTN2,61094000,40605000,80608000,48191000,72375000,55371000,69349000,52527000,64396000,49431000,70246000,40705000,51480000,49914000,111840000,14446000,180370000,55287000,116450000,96736000,137760000,31471000,187000000,104690000,221400000,62014000,68280000,100390000,74093000,74546000,93848000,23048000,65165000
Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2,P09382|LEG1_HUMAN,LGALS1,269320000,237660000,571900000,274900000,342230000,255180000,392760000,293500000,338110000,222670000,377480000,206490000,361880000,275450000,465400000,126940000,1039800000,506140000,433750000,550380000,674110000,320290000,1689500000,1201500000,1236900000,384400000,738830000,751540000,772800000,554260000,797080000,336800000,599440000
Lysosomal acid glucosylceramidase OS=Homo sapiens OX=9606 GN=GBA PE=1 SV=3,P04062|GLCM_HUMAN,GBA,11108000,16245000,6530400,17689000,32265000,24820000,7579100,21111000,11871000,11997000,11913000,15061000,21834000,33435000,27298000,19245000,63364000,36969000,37902000,89612000,56660000,103760000,204360000,184720000,139400000,24487000,46470000,97823000,118810000,56917000,98209000,15344000,70852000
Nucleobindin-2 OS=Homo sapiens OX=9606 GN=NUCB2 PE=1 SV=3;;,P80303|NUCB2_HUMAN,NUCB2,55823000,24327000,74193000,57768000,56218000,91530000,56606000,48266000,64842000,28861000,45315000,31328000,29742000,21734000,24559000,4245200,55764000,19076000,31249000,19418000,42235000,12024000,65363000,29547000,71679000,10081000,21492000,38779000,22702000,27138000,9760300,7852000,7772500
Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3,Q9UQ80|PA2G4_HUMAN,PA2G4,42512000,15753000,56011000,29374000,42264000,33593000,35812000,23049000,33613000,20084000,39726000,14152000,22937000,20199000,70367000,40108000,212130000,39272000,112020000,107410000,139710000,29360000,151180000,73432000,259070000,105100000,121550000,110680000,112920000,46017000,71658000,48857000,57611000
Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2;,P46939|UTRO_HUMAN,UTRN,10215000,18921000,4349400,23914000,11716000,8246100,10089000,22711000,18652000,15982000,6488000,8508800,7479600,4163600,31594000,83871,23158000,4899100,6048500,11889000,56844000,16449000,50048000,16374000,13551000,6324400,12644000,33155000,6617600,9118900,18849000,9176800,290280
Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3,P05198|IF2A_HUMAN,EIF2S1,43888000,15407000,59137000,35925000,46045000,33011000,47039000,29234000,44765000,25729000,55114000,19081000,37678000,19901000,91471000,12447000,115880000,18923000,83294000,44704000,68417000,20966000,83822000,82819000,149890000,44958000,55013000,74328000,94075000,35115000,38926000,27693000,32323000
Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4;,O00299|CLIC1_HUMAN,CLIC1,130610000,85768000,149150000,86934000,122410000,119820000,154500000,90807000,117960000,82239000,149820000,69644000,108960000,89268000,96116000,29017000,172860000,47710000,191480000,59026000,279920000,56300000,384880000,84279000,323190000,36350000,97799000,93263000,72077000,154940000,82924000,67134000,109910000
Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1,O00764|PDXK_HUMAN,PDXK,14256000,11417000,24875000,15476000,24221000,20912000,18215000,11935000,15608000,15382000,19359000,11987000,10184000,17479000,31181000,6010300,40656000,13234000,37357000,31757000,18254000,2454100,23763000,54602000,26857000,11814000,12403000,58454000,46674000,16005000,34138000,4027800,13801000
Mitogen-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPK3 PE=1 SV=4,P27361|MK03_HUMAN,MAPK3,28842000,21077000,25931000,21675000,33254000,31432000,21572000,20599000,20133000,15275000,31287000,16426000,22961000,22699000,22619000,4659800,56745000,12704000,19251000,14742000,52773000,2025400,72845000,32565000,91489000,16541000,37566000,26185000,25864000,24198000,30630000,11278000,13549000
Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2,P37837|TALDO_HUMAN,TALDO1,125910000,66610000,92293000,80663000,110220000,94619000,92743000,66227000,63363000,59576000,100990000,56904000,74647000,75321000,115070000,26746000,309020000,64551000,120430000,180740000,194120000,54634000,205060000,187570000,281320000,104120000,137500000,219670000,228680000,91702000,174230000,74356000,148410000
60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1;;;,P05387|RLA2_HUMAN,RPLP2,157960000,92937000,319590000,222260000,238510000,241260000,310010000,189070000,251180000,75146000,263510000,130520000,144740000,167440000,288910000,40834000,673470000,148580000,408030000,163820000,588450000,84479000,770740000,299700000,739890000,148470000,250710000,482320000,305660000,217660000,286570000,89417000,221670000
Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;,Q8N8S7|ENAH_HUMAN,ENAH,81244000,8451400,57355000,26683000,30743000,28554000,13532000,27069000,10916000,33732000,8346300,10622000,14071000,19312000,54530000,4591300,21708000,147510,10864000,8458000,28725000,3442400,52310000,40826000,81856000,27837000,19604000,46988000,89657000,12800000,27021000,2676800,17864000
Collagen alpha-1(XIV) chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3;,Q05707|COEA1_HUMAN,COL14A1,46227000,10955000,NA,261810,9090600,2982600,898670,404370,402090,3955300,1631300,55170000,1059500,1122500,1442300,66002,152990000,45843000,27045000,1746200,3494200,NA,0,1107300,14862000,60645,523020,NA,NA,NA,NA,NA,NA
Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3;,O14579|COPE_HUMAN,COPE,67564000,18273000,125920000,73199000,76861000,93593000,67659000,56331000,68221000,37364000,79010000,43091000,52270000,41996000,25858000,18949000,86104000,18718000,18534000,46503000,39288000,6129000,71182000,47936000,99867000,29805000,62173000,58943000,65834000,20808000,22260000,12548000,34690000
Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,P55884|EIF3B_HUMAN,EIF3B,14775000,6815800,30480000,20479000,18514000,22365000,19251000,17680000,19874000,10528000,22304000,9166400,15710000,17640000,52755000,19167000,86290000,24923000,59453000,58489000,61642000,2591600,99357000,53559000,119470000,29915000,46250000,153190000,64456000,36739000,29342000,25502000,31444000
60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;,P32969|RL9_HUMAN,RPL9,115160000,73990000,194650000,154020000,133690000,166710000,158410000,125450000,136740000,106430000,147520000,77354000,88518000,85941000,169820000,14975000,295520000,47762000,165360000,155380000,149060000,25488000,220340000,115530000,173650000,46121000,50581000,118610000,126680000,83722000,95135000,41944000,77533000
Protein Niban 1 OS=Homo sapiens OX=9606 GN=NIBAN1 PE=1 SV=1;,Q9BZQ8|NIBA1_HUMAN,NIBAN1,10935000,1340900,9609600,3095800,9839400,8606500,2705500,928300,2085200,742830,2784800,720660,2882500,584920,72216000,4247700,225350000,32976000,62750000,45503000,32432000,0,32084000,160100000,120040000,41561000,116550000,37749000,14806000,3544500,4351300,4562200,2990100
PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,O00151|PDLI1_HUMAN,PDLIM1,129490000,78311000,367640000,138790000,152240000,115680000,106510000,80862000,108820000,89839000,146690000,65699000,114830000,81126000,210860000,27864000,218320000,338990000,174900000,84423000,275230000,39401000,418950000,205760000,281530000,65884000,124640000,156310000,130960000,107890000,168330000,63321000,122570000
UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1;,P54727|RD23B_HUMAN,RAD23B,40412000,2114700,73720000,30082000,39007000,33981000,44456000,23905000,43153000,9172400,32906000,6787500,20448000,11179000,377020000,25399000,485830000,128710000,280850000,205290000,325280000,28033000,525790000,324880000,446820000,146790000,214960000,230350000,262030000,215780000,208050000,99775000,174450000
Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,P29692|EF1D_HUMAN,EEF1D,195210000,183280000,252650000,192760000,233660000,197630000,258100000,189760000,193450000,205500000,287310000,153240000,191550000,180490000,285790000,56903000,390110000,115430000,311340000,221350000,390780000,111650000,439980000,227440000,508660000,138690000,211920000,219720000,260550000,192230000,213880000,134900000,210800000
Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1;,Q92597|NDRG1_HUMAN,NDRG1,4369400,4728700,23039000,14079000,21972000,9170400,3038100,7624600,6637400,27747000,853430,2879000,1697300,4546400,4253000,13983000,65960000,30001000,14730000,64719000,53557000,11987000,210750000,386470000,114110000,36613000,86212000,155050000,112690000,84920000,186900000,9542300,24517000
Asparagine--tRNA ligase  cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1;;,O43776|SYNC_HUMAN,NARS1,23923000,15899000,39122000,18957000,34615000,33164000,28532000,23439000,27266000,16141000,32061000,10494000,31589000,13342000,15319000,6851500,82985000,29466000,66691000,41291000,43765000,9600300,134640000,62611000,125530000,13975000,41481000,45786000,29793000,43356000,50671000,8593800,39409000
Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens OX=9606 GN=TMED10 PE=1 SV=2,P49755|TMEDA_HUMAN,TMED10,83431000,79158000,98301000,109950000,78126000,107030000,116640000,117510000,92001000,89193000,116650000,92448000,106530000,111900000,104310000,22850000,187290000,31958000,103830000,71918000,145320000,80593000,196390000,140270000,201760000,64734000,111770000,140790000,150540000,58910000,83096000,47128000,90335000
182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4;,Q9C0C2|TB182_HUMAN,TNKS1BP1,6321200,8682000,8209400,17562000,16552000,17098000,1855600,25067000,22616000,19179000,24672000,4901500,6449600,12589000,8932700,6121700,17237000,25626000,23613000,34807000,28808000,440290,13085000,43182000,23606000,23446000,6473800,65609000,12801000,10817000,42252000,3059700,12663000
Keratin  type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7;;,P05787|K2C8_HUMAN,KRT8,28620000,1732300,508010000,296270000,57553000,15847000,66768000,29679000,11482000,1864100,14423000,1362300,NA,NA,6293500,NA,307760,631270,7494500,NA,5762700,0,15487000,261610,187550000,5162600,32162000,274410,NA,NA,NA,NA,NA
Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4;;,P13798|ACPH_HUMAN,APEH,13734000,7567700,18367000,11653000,13252000,14069000,8444300,10483000,9196600,12224000,10784000,6352000,5242900,8160800,4664300,1637100,21491000,4199200,10870000,15262000,10306000,1869500,11728000,6390900,26178000,9694500,13447000,21526000,10271000,13504000,21322000,5127600,11567000
40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2;,P61247|RS3A_HUMAN,RPS3A,122620000,82318000,175380000,139810000,152230000,133920000,151390000,103470000,130310000,103610000,178150000,77406000,92491000,91569000,123370000,16104000,215090000,39296000,156690000,76446000,210380000,48848000,261670000,97531000,312710000,61633000,127910000,140760000,111500000,66222000,81034000,45303000,65011000
Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3;,Q13409|DC1I2_HUMAN,DYNC1I2,34044000,17426000,47832000,26695000,33334000,24221000,35522000,26360000,21925000,24641000,37163000,16124000,28896000,13970000,19507000,4240300,66291000,23331000,39162000,24402000,83965000,6205500,96403000,39338000,132760000,14051000,43824000,44821000,28265000,22641000,34171000,14346000,16253000
Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2;,P05455|LA_HUMAN,SSB,47232000,26768000,66828000,73007000,44758000,160530000,52124000,55853000,55552000,23571000,58878000,42103000,28237000,34155000,47393000,9380000,74507000,21506000,39584000,71460000,58617000,28324000,73992000,121390000,78385000,52036000,30706000,107130000,88520000,19124000,56546000,15013000,49485000
Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1;,P51149|RAB7A_HUMAN,RAB7A,43866000,27239000,68322000,61460000,44553000,81788000,55865000,50145000,50933000,38300000,57287000,34457000,55419000,40295000,139900000,36092000,316850000,97154000,219440000,180970000,291150000,141200000,301510000,166980000,377900000,97343000,167430000,144090000,104520000,129930000,143060000,52324000,127930000
26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,P62195|PRS8_HUMAN,PSMC5,41673000,16657000,65537000,38439000,44881000,45797000,54766000,29162000,49943000,28895000,54517000,24486000,33147000,30034000,40507000,5305100,69122000,17932000,28637000,36926000,37280000,10463000,75846000,38056000,109150000,23133000,25933000,34601000,38920000,27976000,21797000,11314000,37911000
Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3;;,P67809|YBOX1_HUMAN,YBX1,93793000,34108000,94713000,54578000,91778000,58956000,106210000,62126000,77487000,5609900,94017000,36188000,48705000,40743000,70750000,4080200,140010000,8754200,176100000,22276000,180830000,19106000,195820000,60596000,225770000,30432000,72008000,65231000,52414000,52635000,35934000,18861000,33718000
F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3;,P52907|CAZA1_HUMAN,CAPZA1,85679000,50995000,97019000,81618000,101550000,98779000,78518000,72914000,68313000,73031000,77674000,49685000,66729000,60785000,66576000,19340000,137680000,49270000,87222000,75697000,113870000,24250000,165180000,126930000,140560000,40218000,24819000,65567000,79039000,68832000,80684000,21152000,41107000
